category,title,rating,price,stock
Travel,It's Only the Himalayas,2,45.17,In stock
Travel,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,4,49.43,In stock
Travel,See America: A Celebration of Our National Parks & Treasured Sites,3,48.87,In stock
Travel,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,2,36.94,In stock
Travel,Under the Tuscan Sun,3,37.33,In stock
Travel,A Summer In Europe,2,44.34,In stock
Travel,The Great Railway Bazaar,1,30.54,In stock
Travel,A Year in Provence (Provence #1),4,56.88,In stock
Travel,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),1,23.21,In stock
Travel,Neither Here nor There: Travels in Europe,3,38.95,In stock
Travel,"1,000 Places to See Before You Die",5,26.08,Out of stock
Mystery,Sharp Objects,4,47.82,In stock
Mystery,"In a Dark, Dark Wood",1,19.63,In stock
Mystery,The Past Never Ends,4,56.50,In stock
Mystery,A Murder in Time,1,16.64,In stock
Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),4,44.10,In stock
Mystery,The Last Mile (Amos Decker #2),2,54.21,In stock
Mystery,That Darkness (Gardiner and Renner #1),1,13.92,In stock
Mystery,Tastes Like Fear (DI Marnie Rome #3),1,10.69,In stock
Mystery,A Time of Torment (Charlie Parker #14),5,48.35,In stock
Mystery,A Study in Scarlet (Sherlock Holmes #1),2,16.73,In stock
Mystery,Poisonous (Max Revere Novels #3),3,26.80,In stock
Mystery,Murder at the 42nd Street Library (Raymond Ambler #1),4,54.36,In stock
Mystery,Most Wanted,3,35.28,Out of stock
Mystery,Hide Away (Eve Duncan #20),1,11.84,In stock
Mystery,Boar Island (Anna Pigeon #19),3,59.48,In stock
Mystery,The Widow,2,27.26,In stock
Mystery,Playing with Fire,3,13.71,In stock
Mystery,What Happened on Beale Street (Secrets of the South Mysteries #2),5,25.37,In stock
Mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,52.30,Out of stock
Mystery,Delivering the Truth (Quaker Midwife Mystery #1),4,20.89,Out of stock
Mystery,The Mysterious Affair at Styles (Hercule Poirot #1),4,24.80,Out of stock
Mystery,In the Woods (Dublin Murder Squad #1),2,38.38,In stock
Mystery,The Silkworm (Cormoran Strike #2),5,23.05,Out of stock
Mystery,The Exiled,3,43.45,In stock
Mystery,The Cuckoo's Calling (Cormoran Strike #1),1,19.21,In stock
Mystery,Extreme Prey (Lucas Davenport #26),3,25.40,In stock
Mystery,Career of Evil (Cormoran Strike #3),2,24.72,In stock
Mystery,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4,57.70,In stock
Mystery,The Girl You Lost,5,12.29,Out of stock
Mystery,The Girl In The Ice (DCI Erika Foster #1),3,15.85,In stock
Mystery,Blood Defense (Samantha Brinkman #1),3,20.30,In stock
Mystery,1st to Die (Women's Murder Club #1),1,53.98,In stock
Historical Fiction,Tipping the Velvet,1,53.74,In stock
Historical Fiction,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3,29.69,In stock
Historical Fiction,A Flight of Arrows (The Pathfinders #2),5,55.53,In stock
Historical Fiction,The House by the Lake,1,36.95,In stock
Historical Fiction,Mrs. Houdini,5,30.25,In stock
Historical Fiction,The Marriage of Opposites,4,28.08,In stock
Historical Fiction,Glory over Everything: Beyond The Kitchen House,3,45.84,Out of stock
Historical Fiction,"Love, Lies and Spies",2,20.55,In stock
Historical Fiction,A Paris Apartment,4,39.01,In stock
Historical Fiction,Lilac Girls,2,17.28,In stock
Historical Fiction,The Constant Princess (The Tudor Court #1),3,16.62,In stock
Historical Fiction,The Invention of Wings,1,37.34,Out of stock
Historical Fiction,World Without End (The Pillars of the Earth #2),4,32.97,In stock
Historical Fiction,The Passion of Dolssa,5,28.32,In stock
Historical Fiction,Girl With a Pearl Earring,1,26.77,In stock
Historical Fiction,Voyager (Outlander #3),5,21.07,In stock
Historical Fiction,The Red Tent,5,35.66,In stock
Historical Fiction,The Last Painting of Sara de Vos,2,55.55,In stock
Historical Fiction,The Guernsey Literary and Potato Peel Pie Society,1,49.53,In stock
Historical Fiction,Girl in the Blue Coat,2,46.83,In stock
Historical Fiction,Between Shades of Gray,5,20.79,In stock
Historical Fiction,While You Were Mine,5,41.32,In stock
Historical Fiction,The Secret Healer,3,34.56,Out of stock
Historical Fiction,Starlark,3,25.83,Out of stock
Historical Fiction,Lost Among the Living,4,27.70,Out of stock
Historical Fiction,A Spy's Devotion (The Regency Spies of London #1),5,16.97,In stock
Sequential Art,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,52.29,In stock
Sequential Art,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),1,16.28,In stock
Sequential Art,This One Summer,4,19.49,In stock
Sequential Art,The Nameless City (The Nameless City #1),4,38.16,Out of stock
Sequential Art,"Saga, Volume 5 (Saga (Collected Editions) #5)",2,51.04,In stock
